sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3951;10.9586;-2.095;0.4271;9.6805;-1.5088;-0.8222;1.2781;-0.5862;-0.0679;-0.5258;0.4408;0.0;-32.34;-60.12;-19.86;241.12;-80.8;-164.19;0.0;997.03;51.83;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;8550;2020-12-03 17:23:12:333
-2.1165;8.9953;0.1868;-0.6826;9.7794;-0.2612;-1.9751;-0.7266;0.4814;0.1069;-0.0036;-0.1114;0.0;-28.26;-56.04;-27.78;158.13;-85.73;110.94;0.0;997.01;50.176;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;9048;2020-12-03 17:23:12:831
0.4597;10.5228;-0.838;-0.6375;9.7599;-0.7128;1.0972;0.7629;-0.1252;0.1905;-0.2589;0.2251;0.0;-18.36;-52.44;-26.7;172.95;-84.4;138.19;0.0;997.01;55.664;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;9548;2020-12-03 17:23:13:331
0.1101;7.4845;-2.4446;-0.2986;9.7286;-1.1981;0.4087;-2.2441;-1.2464;-0.5963;-0.1086;-0.2238;0.0;-18.9;-48.72;-11.7;214.89;-82.77;166.01;0.0;997.01;50.014;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;10049;2020-12-03 17:23:13:832
0.4765;10.0392;-0.4884;-0.5014;9.7841;-0.4369;0.1518;-0.341;0.2765;-0.0385;1.7148;0.073;0.0;-9.78;-47.4;-22.8;157.33;-86.11;131.07;0.0;997.0;53.646;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;10548;2020-12-03 17:23:14:331
0.6177;10.032;0.0263;0.6386;9.7469;-0.8713;0.5514;0.1318;1.003;0.08;1.1382;-0.0033;0.0;-2.16;-47.82;-23.28;214.0;-83.68;-143.76;0.0;996.99;55.481;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;11047;2020-12-03 17:23:14:830
1.1923;9.8644;-0.1844;0.4617;9.7717;-0.6862;0.7306;0.0927;0.5018;0.1557;1.3672;-0.3723;0.0;8.22;-48.78;-14.76;188.54;-84.82;-141.21;0.0;997.0;46.294;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;11548;2020-12-03 17:23:15:331
-0.2586;9.5867;0.0503;-0.7454;9.7774;0.1305;-0.8372;0.0727;0.231;-0.3861;1.0777;-0.1371;0.0;16.86;-45.72;-10.44;24.96;-85.57;80.07;0.0;997.0;55.137;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;12049;2020-12-03 17:23:15:832
-0.486;9.6394;0.6153;-0.8066;9.7589;0.5316;0.6414;2.1215;0.7805;-0.3366;0.4705;0.0437;0.0;16.38;-48.48;-2.7;328.32;-84.35;56.61;0.0;997.03;52.588;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;12548;2020-12-03 17:23:16:331
-0.1413;9.5316;-0.237;0.3575;9.7754;-0.6955;-0.3025;-0.093;0.5853;0.4031;0.0728;0.1885;0.0;8.1;-50.16;11.46;80.1;-85.43;-152.79;0.0;996.97;49.904;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;13049;2020-12-03 17:23:16:832
-1.8173;11.7822;-0.7183;-0.1179;9.798;-0.3948;-1.108;1.4623;-1.4105;-1.3452;0.5963;-0.2971;0.0;12.9;-50.04;12.18;34.55;-87.59;163.38;0.0;997.03;50.173;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;13548;2020-12-03 17:23:17:331
0.1317;9.0743;-1.5156;-0.5646;9.7868;-0.2653;0.7753;-0.2576;-0.5056;0.3879;0.6629;0.1476;0.0;9.9;-48.78;21.3;315.15;-86.35;115.17;0.0;997.02;55.808;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;14049;2020-12-03 17:23:17:832
-0.3783;10.0751;-1.9609;0.5051;9.6177;-1.8476;-0.8834;0.4574;-0.1133;0.3231;-0.1343;0.2801;0.0;13.08;-43.56;30.18;51.23;-78.74;-164.71;0.0;997.02;53.006;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;14548;2020-12-03 17:23:18:331
-1.02;10.1134;0.3903;-0.4374;9.7863;-0.4558;-0.2283;-0.2427;0.6306;-0.7966;1.3294;-0.4884;0.0;9.66;-48.18;25.44;335.17;-86.31;136.18;0.0;996.99;56.615;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;15048;2020-12-03 17:23:18:831
1.1612;8.8325;-0.3591;-0.2806;9.7881;-0.5327;2.3493;-0.3092;0.3029;0.521;0.5865;0.3149;0.0;-5.76;-42.9;20.4;309.89;-86.48;152.22;0.0;997.01;64.862;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;15548;2020-12-03 17:23:19:331
3.0766;8.1501;-3.4406;0.1459;9.7635;-0.9075;2.9308;-1.6133;-2.5331;-1.4643;-0.2174;-0.1615;0.0;-4.02;-40.56;18.84;352.46;-81.7;-173.28;0.0;997.03;52.423;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;16048;2020-12-03 17:23:19:831
-0.8859;7.6473;0.2442;-0.5086;9.7784;0.5419;2.697;-3.0194;-2.8835;0.8594;0.0459;-0.6405;0.0;-8.22;-45.0;4.26;165.27;-85.65;43.18;0.0;997.02;58.976;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;16548;2020-12-03 17:23:20:331
-1.8987;9.3784;-0.1101;0.3958;9.5669;-2.1184;-1.6217;-0.6027;1.6228;0.2284;-0.5576;0.0865;0.0;-12.06;-42.12;12.42;294.78;-77.31;-169.42;0.0;997.0;65.097;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;17048;2020-12-03 17:23:20:831
-0.6991;10.9921;1.2498;-0.3193;9.7995;0.1963;-0.3799;1.1926;1.0536;-0.0019;0.5786;0.3669;0.0;-11.82;-43.44;-1.32;147.81;-87.81;58.42;0.0;996.98;57.046;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;17548;2020-12-03 17:23:21:331
0.2538;10.1541;-0.4789;0.3403;9.6813;-1.5255;-0.2398;0.4585;0.733;0.8466;-0.2357;0.1915;0.0;-16.92;-43.14;-2.04;253.24;-80.83;-167.42;0.0;996.98;54.979;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;18048;2020-12-03 17:23:21:831
-0.0239;9.8453;0.3017;-0.3492;9.7996;-0.1256;-0.077;-1.6232;0.0442;-0.628;0.5823;-0.4975;0.0;-5.22;-42.3;-8.1;147.03;-87.83;109.78;0.0;997.04;53.956;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;18548;2020-12-03 17:23:22:331
0.9529;7.846;-0.565;0.1101;9.7449;-1.0934;0.996;-1.3362;0.6289;0.3543;-0.7317;0.1964;0.0;-6.9;-45.18;3.24;256.51;-85.65;169.2;0.0;996.99;63.428;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;19048;2020-12-03 17:23:22:831
-2.6217;9.1509;-0.0168;0.2003;9.7926;-0.4852;-2.2474;1.6593;-0.6281;-0.8284;0.3984;-0.1114;0.0;-4.68;-49.92;-3.78;234.02;-86.93;-157.57;0.0;997.05;52.015;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;19548;2020-12-03 17:23:23:331
0.3951;9.9841;-2.2674;-0.7281;9.7784;0.1491;-0.9048;-0.91;-1.6598;0.5766;-0.3273;0.04;0.0;6.54;-50.88;22.74;266.11;-85.65;78.43;0.0;997.02;62.132;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;20049;2020-12-03 17:23:23:832
2.4446;9.2874;-3.079;-0.1759;9.7246;-1.2538;2.6204;-0.4372;-1.8253;-1.044;-0.4012;-0.2446;0.0;-3.42;-44.76;24.96;347.78;-79.73;178.68;0.0;997.04;57.541;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;20548;2020-12-03 17:23:24:331
2.7438;20.5908;0.8476;-0.3966;9.7867;0.483;-1.1309;3.7673;0.1874;-0.5871;0.1522;0.2783;0.0;-10.74;-49.14;13.86;181.05;-86.35;39.39;0.0;997.01;58.24;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;21048;2020-12-03 17:23:24:831
-0.8428;9.1844;-0.9314;0.2835;9.616;-1.9033;-0.5803;-0.0485;0.9863;0.5003;-0.593;0.1579;0.0;-12.06;-44.34;22.68;331.17;-78.68;-171.53;0.0;997.0;60.944;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;21549;2020-12-03 17:23:25:332
-1.6616;9.2922;1.2067;-0.4905;9.793;0.1654;-1.1711;-0.5008;1.0413;0.3591;0.6592;0.3534;0.0;-7.08;-50.94;10.32;210.06;-86.97;71.37;0.0;996.99;57.608;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;22049;2020-12-03 17:23:25:832
0.4573;10.1733;-0.905;0.1094;9.7281;-1.2337;0.3479;0.4452;0.3287;0.518;-0.3756;0.3436;0.0;-12.48;-45.24;17.58;321.77;-82.74;-174.93;0.0;997.01;56.927;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;22548;2020-12-03 17:23:26:331
-0.0503;7.7646;-0.8093;0.2798;9.797;-0.3319;-2.4203;0.9629;-0.3193;-0.5113;-0.1147;-0.3362;0.0;-7.08;-47.58;12.18;11.65;-87.46;-139.87;0.0;997.06;54.593;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;23048;2020-12-03 17:23:26:831
1.846;10.2619;-0.6848;-0.3047;9.7978;-0.2846;1.782;0.2749;-1.1591;0.656;-0.1306;0.0138;0.0;-11.4;-45.72;15.96;223.39;-88.0;81.14;0.0;997.0;62.334;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;23548;2020-12-03 17:23:27:331
2.933;9.7088;-2.6026;-0.0119;9.6966;-1.4648;2.2314;1.1423;-1.4945;-0.9713;-0.9217;0.059;0.0;-4.5;-44.46;18.96;341.17;-81.41;179.53;0.0;997.04;54.413;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;24048;2020-12-03 17:23:27:831
-1.9825;10.3265;-0.0886;-0.3525;9.79;-0.45;-0.3323;-0.4355;1.3957;-0.179;-0.7177;0.1243;0.0;-2.64;-45.54;15.78;303.34;-86.66;141.93;0.0;997.01;57.178;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;24548;2020-12-03 17:23:28:331
-0.0287;9.8237;-0.68;0.0536;9.7209;-1.2931;-0.2093;-0.1509;0.6132;0.1918;-1.8404;0.2636;0.0;9.78;-47.22;14.4;55.55;-82.42;-177.62;0.0;997.01;60.025;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;25048;2020-12-03 17:23:28:831
-2.0088;9.8596;0.2466;-0.4407;9.7785;-0.5966;-1.015;0.0332;0.8839;0.3109;-2.1349;0.0798;0.0;17.16;-47.7;-2.52;75.37;-85.66;143.55;0.0;997.03;54.704;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;25548;2020-12-03 17:23:29:331
0.577;9.7375;-1.6018;-1.1642;9.715;-0.6578;1.1546;-0.126;-1.0014;0.0922;-0.7812;0.0333;0.0;12.18;-47.94;-14.22;99.47;-82.16;119.47;0.0;996.99;48.604;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;26050;2020-12-03 17:23:29:833
-0.5267;9.7327;-1.0798;0.1799;9.6902;-1.4963;-0.7066;0.0426;0.4165;0.4233;-0.8453;0.2141;0.0;-1.68;-49.74;-14.22;189.79;-81.16;-173.14;0.0;997.02;46.828;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;26548;2020-12-03 17:23:30:331
-1.0487;9.4981;-0.0982;-0.3669;9.7973;-0.2217;-0.7895;-0.3782;0.2217;-0.5834;0.2011;-0.4896;0.0;-4.92;-47.28;-22.92;136.81;-87.49;121.14;0.0;997.03;56.473;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;27048;2020-12-03 17:23:30:831
0.8883;9.0623;-0.7829;-0.644;9.7814;-0.2826;3.0143;-0.4461;-0.5435;0.5815;0.14;0.0174;0.0;-2.64;-47.94;-22.32;128.38;-85.89;113.69;0.0;996.99;62.003;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;27548;2020-12-03 17:23:31:331
-2.3272;10.8676;-2.4446;0.2413;9.7651;-0.8684;-1.2182;1.0714;-0.8268;-0.3916;-0.805;0.3137;0.0;-8.16;-50.58;-15.84;211.33;-83.97;-166.39;0.0;997.01;47.929;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;28048;2020-12-03 17:23:31:831
-0.8524;9.5436;-0.7877;-0.4744;9.7299;-1.1283;-0.3755;-0.1097;0.3837;0.1606;-0.9687;0.0798;0.0;-16.44;-50.4;-10.92;205.03;-82.83;157.19;0.0;997.04;52.099;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;28548;2020-12-03 17:23:32:331
-0.2849;9.7088;-0.7398;-0.5931;9.7215;-1.1449;-0.1587;-0.1348;-0.3994;-0.0245;-0.7708;0.1958;0.0;-19.56;-48.84;-1.62;224.19;-82.44;152.61;0.0;997.03;44.695;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;29048;2020-12-03 17:23:32:831
-0.079;9.601;-0.4382;0.0822;9.6887;-1.514;-0.4437;-0.2983;1.0591;0.2968;-0.4947;-0.0571;0.0;-20.58;-47.04;6.84;275.05;-81.73;-175.43;0.0;997.0;50.458;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;29549;2020-12-03 17:23:33:332
-1.154;9.0719;0.5267;-1.1065;9.7411;0.2378;0.3451;0.0706;0.5164;-0.49;0.4271;-0.3375;0.0;-16.92;-49.26;-5.46;158.17;-83.37;77.87;0.0;997.01;57.559;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;30048;2020-12-03 17:23:33:831
1.0056;9.115;-0.3544;-0.4584;9.7741;-0.6532;1.5741;-0.8267;0.6006;0.2296;0.2029;0.2123;0.0;-21.66;-46.08;-4.56;216.55;-85.33;144.94;0.0;997.02;61.04;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;30548;2020-12-03 17:23:34:331
1.6999;7.1852;-2.7845;0.0746;9.7084;-1.3825;1.3978;-1.2231;-1.1099;-0.8406;-0.1062;-0.1609;0.0;-24.84;-45.66;4.62;269.5;-81.88;-176.91;0.0;997.02;48.699;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;31048;2020-12-03 17:23:34:831
-1.7167;9.5819;0.9577;-0.4628;9.7919;0.2713;-1.1557;-0.2292;0.2052;-0.4686;0.9054;0.0871;0.0;-28.08;-51.0;-11.7;130.39;-86.86;59.63;0.0;997.0;49.535;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;31548;2020-12-03 17:23:35:331
0.996;10.3672;-0.1556;0.5259;9.6909;-1.4074;0.8963;-0.1904;1.6061;0.2571;1.0923;-0.0394;0.0;-27.18;-60.78;-22.02;238.31;-81.19;-159.51;0.0;996.99;59.804;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;32047;2020-12-03 17:23:35:830
0.1389;10.2667;0.1269;-0.6106;9.7768;0.4588;0.7494;0.4898;-0.3319;-0.8302;1.9347;-0.2135;0.0;3.3;-56.04;-33.42;80.78;-87.38;81.59;0.0;997.0;50.94;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;32548;2020-12-03 17:23:36:331
0.7638;8.9163;0.0479;-0.481;9.7948;-0.0214;2.0804;-0.517;0.4451;0.339;1.6262;0.1017;0.0;20.58;-51.48;-16.08;43.64;-87.19;92.54;0.0;996.98;54.598;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;33048;2020-12-03 17:23:36:831
0.8859;10.6497;-2.1453;0.6026;9.7299;-1.066;0.1037;1.2575;-1.7832;0.0458;1.1748;0.0602;0.0;20.7;-48.0;3.84;122.28;-82.83;-150.52;0.0;997.0;59.572;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;33549;2020-12-03 17:23:37:332
-0.6105;9.8333;1.8795;-0.9149;9.7442;0.62;0.3043;0.0891;1.2595;0.0378;1.2842;0.3229;0.0;15.72;-44.28;9.6;278.66;-83.53;55.87;0.0;996.98;56.508;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;34048;2020-12-03 17:23:37:831
0.4453;10.1517;-0.2682;0.2903;9.774;-0.7445;0.2149;0.1024;0.5099;0.2376;-0.2729;0.0303;0.0;9.72;-47.4;14.04;68.93;-85.33;-158.7;0.0;997.01;64.599;55.701347;13.169365;239.35;NaN;;;51.658066;;0 / 2;34548;2020-12-03 17:23:38:331
