sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.3751;9.7303;-2.3153;-2.3037;9.3086;-2.0525;-0.275;-0.0739;-0.4711;-0.4927;-0.3154;-0.1504;0.0;1.5;-46.56;-4.98;162.97;-71.66;131.7;0.0;996.84;61.227;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;8553;2020-12-03 17:39:00:634
-2.7726;9.2658;0.0646;-2.4021;9.4935;-0.5233;-0.3704;-0.2276;0.588;-0.0516;-0.2049;0.1294;0.0;-2.58;-43.44;-7.08;158.83;-74.96;104.18;0.0;996.8;61.91;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;9052;2020-12-03 17:39:01:133
-2.1285;9.3401;-0.1556;-2.4562;9.4887;-0.3178;0.3325;-0.1199;0.2076;0.1671;0.0603;-0.0178;0.0;-3.18;-43.44;-7.2;155.82;-75.37;97.37;0.0;996.82;62.013;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;9552;2020-12-03 17:39:01:633
-2.8707;8.5356;-3.1269;-2.1762;9.4121;-1.687;-0.8071;-0.2636;-1.4567;0.3473;0.5355;0.1074;0.0;1.74;-45.96;-2.82;164.72;-73.69;127.78;0.0;996.84;63.044;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;10052;2020-12-03 17:39:02:133
-0.3472;8.7846;-4.0128;-1.0184;9.1094;-3.4858;0.6712;-0.3249;-0.527;-0.0877;-0.0228;-0.0514;0.0;0.78;-47.1;3.0;179.53;-68.27;163.71;0.0;996.88;63.096;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;10552;2020-12-03 17:39:02:633
-2.7989;8.9378;-2.6768;-1.866;9.3167;-2.4263;-0.6145;-0.513;-0.3104;-0.5159;-0.7253;-0.104;0.0;2.94;-46.44;-4.5;164.44;-70.91;148.01;0.0;996.84;62.826;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 0;11053;2020-12-03 17:39:03:134
-2.423;9.4239;0.2155;-2.2492;9.5261;-0.6043;0.0153;-0.3057;0.7935;0.0247;-0.316;0.1147;0.0;-1.74;-45.24;-10.2;148.79;-76.26;105.04;0.0;996.79;62.154;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;11553;2020-12-03 17:39:03:634
-2.1932;9.2754;-0.7159;-2.1675;9.541;-0.6646;-0.0256;-0.2655;-0.0513;0.062;0.1183;0.0121;0.0;-0.96;-45.0;-9.42;148.3;-76.53;104.86;0.0;996.82;64.496;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;12053;2020-12-03 17:39:04:134
-1.992;9.6537;-0.3184;-2.0539;9.5819;-0.3735;0.1384;0.1102;0.0383;-0.062;-0.2464;-0.0044;0.0;-3.54;-44.64;-9.66;148.98;-77.71;100.31;0.0;996.84;64.201;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;12553;2020-12-03 17:39:04:634
-3.2562;9.1868;0.589;-2.3372;9.5229;-0.1505;-0.5168;-0.0368;0.5695;0.1274;-0.0472;-0.0667;0.0;-2.58;-45.06;-10.5;145.57;-76.18;93.68;0.0;996.81;59.774;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;13053;2020-12-03 17:39:05:134
-2.8707;8.289;-1.4677;-2.4597;9.453;-0.8721;-0.4111;-1.164;-0.5955;0.1646;0.2319;-0.1516;0.0;2.58;-45.54;-4.8;152.81;-74.57;109.52;0.0;996.83;61.48;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;13552;2020-12-03 17:39:05:633
-2.8827;9.0192;0.5507;-3.0324;9.2993;0.705;0.1497;-0.2801;-0.1543;-0.208;0.4622;0.0665;0.0;8.46;-43.2;-17.16;100.04;-71.49;76.91;0.0;996.84;69.431;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;14053;2020-12-03 17:39:06:134
-2.6074;9.8955;-0.8045;-2.4171;9.5028;-0.1573;0.4131;-0.4788;0.3249;0.0034;-0.3093;0.0939;0.0;5.94;-46.08;-14.58;112.95;-75.7;93.72;0.0;996.81;60.402;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;14552;2020-12-03 17:39:06:633
-2.854;11.9402;-1.4318;-2.302;9.4843;-0.9587;-1.3564;2.0154;-0.6454;0.3735;-0.9874;0.0848;0.0;5.58;-48.06;-9.18;132.22;-75.63;110.75;0.0;996.83;56.227;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;15053;2020-12-03 17:39:07:134
-3.8356;8.2483;-2.2219;-2.9401;8.987;-2.5998;-0.4454;-0.7555;0.2391;0.1048;-0.6929;0.0842;0.0;1.62;-50.34;-3.24;170.1;-66.41;131.48;0.0;996.86;55.098;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;15553;2020-12-03 17:39:07:634
-2.0112;9.9554;0.1269;-2.533;9.3907;-1.2527;0.8139;0.196;1.2287;-0.1023;0.3449;0.0304;0.0;-1.14;-48.06;-9.3;157.61;-73.25;116.31;0.0;996.81;54.445;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;16053;2020-12-03 17:39:08:134
-1.4653;10.1086;0.2514;-2.4036;9.4982;-0.4201;0.9383;0.6104;0.6715;0.2532;0.1244;-0.148;0.0;0.24;-48.0;-10.62;140.98;-75.8;98.85;0.0;996.81;60.706;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 1;16552;2020-12-03 17:39:08:633
